IP,site,dns,vuln
134.164.90.5,ms.vicksburg-0012.erdc.usace - v4,,
134.164.50.82,ms.vicksburg-0012.erdc.usace - v4,rvdgfw-f.erdc.dren.mil,
134.164.40.26,ms.vicksburg-0012.erdc.usace - v4,itlgeg-wd-s8489.erdc.dren.mil,
134.164.4.179,ms.vicksburg-0012.erdc.usace - v4,,
134.164.4.161,ms.vicksburg-0012.erdc.usace - v4,,
134.164.2.1,ms.vicksburg-0012.erdc.usace - v4,,
134.164.1.200,ms.vicksburg-0012.erdc.usace - v4,,
134.164.0.30,ms.vicksburg-0012.erdc.usace - v4,,
129.229.255.95,il.champaign-0082.cerl.erdc - v4,,
129.229.112.91,il.champaign-0082.cerl.erdc - v4,,
129.229.112.90,il.champaign-0082.cerl.erdc - v4,,
129.229.112.80,il.champaign-0082.cerl.erdc - v4,,
129.229.112.73,il.champaign-0082.cerl.erdc - v4,,
129.229.112.64,il.champaign-0082.cerl.erdc - v4,,
129.229.112.59,il.champaign-0082.cerl.erdc - v4,,
129.229.112.56,il.champaign-0082.cerl.erdc - v4,,
129.229.51.236,il.champaign-0082.cerl.erdc - v4,,
129.229.51.151,il.champaign-0082.cerl.erdc - v4,,
129.229.51.20,il.champaign-0082.cerl.erdc - v4,,
129.229.26.83,il.champaign-0082.cerl.erdc - v4,cerrrb-wn-t1396.erdc.dren.mil,
129.229.11.53,il.champaign-0082.cerl.erdc - v4,rcdgfw-f.erdc.dren.mil,
10.203.225.10,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
10.203.52.104,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
10.203.52.103,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
10.203.52.102,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
10.203.52.101,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
10.203.52.100,va.ft_belvoir-0008.erdc-grl.erdc - v4,,
10.202.225.10,il.champaign-0082.cerl.erdc - v4,rcws.erdc.dren.mil,
10.202.52.104,il.champaign-0082.cerl.erdc - v4,,
10.202.52.103,il.champaign-0082.cerl.erdc - v4,,
10.202.52.102,il.champaign-0082.cerl.erdc - v4,,
10.201.225.10,nh.hanover-0059.crrel.erdc - v4,rhws.erdc.dren.mil,
10.201.52.104,nh.hanover-0059.crrel.erdc - v4,,
10.201.52.103,nh.hanover-0059.crrel.erdc - v4,,
10.201.52.102,nh.hanover-0059.crrel.erdc - v4,,
10.201.52.101,nh.hanover-0059.crrel.erdc - v4,,
10.201.52.100,nh.hanover-0059.crrel.erdc - v4,,
10.201.30.254,nh.hanover-0059.crrel.erdc - v4,,
10.200.213.70,ms.vicksburg-0012.erdc.usace - v4,,
10.200.213.11,ms.vicksburg-0012.erdc.usace - v4,,
10.200.213.10,ms.vicksburg-0012.erdc.usace - v4,,
10.200.212.197,ms.vicksburg-0012.erdc.usace - v4,,
10.200.212.196,ms.vicksburg-0012.erdc.usace - v4,,
10.200.212.195,ms.vicksburg-0012.erdc.usace - v4,,
10.200.212.194,ms.vicksburg-0012.erdc.usace - v4,,
10.200.212.193,ms.vicksburg-0012.erdc.usace - v4,,
10.200.212.192,ms.vicksburg-0012.erdc.usace - v4,,
10.200.212.191,ms.vicksburg-0012.erdc.usace - v4,,
10.200.154.26,ms.vicksburg-0012.erdc.usace - v4,teamengine.erdc.dren.mil,
10.200.154.6,ms.vicksburg-0012.erdc.usace - v4,wst-portal2.erdc.dren.mil,
10.200.154.4,ms.vicksburg-0012.erdc.usace - v4,,
10.200.152.152,ms.vicksburg-0012.erdc.usace - v4,mvoss-wv-09f1.erdc.dren.mil,
10.200.152.141,ms.vicksburg-0012.erdc.usace - v4,esridc.erdc.dren.mil,
10.200.151.100,ms.vicksburg-0012.erdc.usace - v4,,
10.200.150.217,ms.vicksburg-0012.erdc.usace - v4,gpucompute.erdc.dren.mil,
10.200.150.204,ms.vicksburg-0012.erdc.usace - v4,comet.erdc.dren.mil,
10.200.150.191,ms.vicksburg-0012.erdc.usace - v4,,
10.200.150.190,ms.vicksburg-0012.erdc.usace - v4,cmdb.erdc.dren.mil,
10.200.150.80,ms.vicksburg-0012.erdc.usace - v4,fudsrt1.erdc.dren.mil,
10.200.150.42,ms.vicksburg-0012.erdc.usace - v4,testvc.erdc.dren.mil,
10.200.123.5,ms.vicksburg-0012.erdc.usace - v4,,
10.200.123.4,ms.vicksburg-0012.erdc.usace - v4,,
10.200.60.4,ms.vicksburg-0012.erdc.usace - v4,ms-cchatvks.erdc.dren.mil,
10.200.60.3,ms.vicksburg-0012.erdc.usace - v4,ms-cucmvks.erdc.dren.mil,
10.200.60.2,ms.vicksburg-0012.erdc.usace - v4,ms-cplmvks.erdc.dren.mil,
10.200.59.254,ms.vicksburg-0012.erdc.usace - v4,,
10.200.58.165,ms.vicksburg-0012.erdc.usace - v4,,
10.200.58.96,ms.vicksburg-0012.erdc.usace - v4,,
10.200.58.89,ms.vicksburg-0012.erdc.usace - v4,,
10.200.58.80,ms.vicksburg-0012.erdc.usace - v4,,
10.200.58.73,ms.vicksburg-0012.erdc.usace - v4,sonarqube.erdc.dren.mil,
10.200.58.58,ms.vicksburg-0012.erdc.usace - v4,,
10.200.58.53,ms.vicksburg-0012.erdc.usace - v4,,
10.200.58.52,ms.vicksburg-0012.erdc.usace - v4,,
10.200.58.46,ms.vicksburg-0012.erdc.usace - v4,,
10.200.58.42,ms.vicksburg-0012.erdc.usace - v4,vane-dev.erdc.dren.mil,
10.200.58.39,ms.vicksburg-0012.erdc.usace - v4,splat.erdc.dren.mil,
10.200.58.38,ms.vicksburg-0012.erdc.usace - v4,,
10.200.58.33,ms.vicksburg-0012.erdc.usace - v4,,
10.200.57.19,ms.vicksburg-0012.erdc.usace - v4,,
10.200.57.18,ms.vicksburg-0012.erdc.usace - v4,,
10.200.57.17,ms.vicksburg-0012.erdc.usace - v4,,
10.200.57.1,ms.vicksburg-0012.erdc.usace - v4,os.erdc.dren.mil,
